YearStart,LocationAbbr,DataValue,Stratification1
2019,AZ,97.2,"American Indian or Alaska Native, non-Hispanic"
2019,AK,132.3,"Black, non-Hispanic"
2019,AR,230.9,"Black, non-Hispanic"
2019,AZ,140.3,"Black, non-Hispanic"
2019,AZ,65.4,"Asian, non-Hispanic"
2019,AK,160.4,"American Indian or Alaska Native, non-Hispanic"
2019,AZ,54.4,"Multiracial, non-Hispanic"
2019,AZ,254.2,"White, non-Hispanic"
2019,AK,64.4,"Asian, non-Hispanic"
2019,AK,56.5,"Multiracial, non-Hispanic"
2019,AR,38.5,Hispanic
2019,AL,318.5,"White, non-Hispanic"
2019,AL,82.9,"American Indian or Alaska Native, non-Hispanic"
2019,AZ,61.0,Hispanic
2019,AL,65.2,"Asian, non-Hispanic"
2019,AR,72.0,"Asian, non-Hispanic"
2019,AK,122.5,"White, non-Hispanic"
2019,AR,341.0,"White, non-Hispanic"
2019,AL,238.4,"Black, non-Hispanic"
2019,AR,216.6,"Hawaiian or Pacific Islander, non-Hispanic"
2019,AL,22.4,Hispanic
2019,CA,68.6,Hispanic
2019,FL,87.0,"American Indian or Alaska Native, non-Hispanic"
2019,CT,158.1,"Black, non-Hispanic"
2019,CA,272.7,"White, non-Hispanic"
2019,DE,30.0,Hispanic
2019,GA,54.2,"Asian, non-Hispanic"
2019,CT,55.6,Hispanic
2019,FL,33.8,"Multiracial, non-Hispanic"
2019,DE,56.2,"Asian, non-Hispanic"
2019,GA,243.7,"White, non-Hispanic"
2019,CT,270.1,"White, non-Hispanic"
2019,CO,20.1,"Multiracial, non-Hispanic"
2019,DC,299.4,"Black, non-Hispanic"
2019,GA,25.9,Hispanic
2019,CA,100.3,"Asian, non-Hispanic"
2019,FL,306.0,"White, non-Hispanic"
2019,CA,44.9,"Multiracial, non-Hispanic"
2019,DE,147.2,"Black, non-Hispanic"
2019,GA,164.4,"Black, non-Hispanic"
2019,CT,45.8,"Asian, non-Hispanic"
2019,DC,71.1,"White, non-Hispanic"
2019,CO,62.3,Hispanic
2019,DE,277.5,"White, non-Hispanic"
2019,CA,236.4,"Black, non-Hispanic"
2019,CA,205.5,"Hawaiian or Pacific Islander, non-Hispanic"
2019,CO,140.0,"Black, non-Hispanic"
2019,CO,104.5,"American Indian or Alaska Native, non-Hispanic"
2019,CO,165.6,"White, non-Hispanic"
2019,FL,155.1,"Black, non-Hispanic"
2019,CO,49.3,"Asian, non-Hispanic"
2019,FL,112.1,Hispanic
2019,CA,165.1,"American Indian or Alaska Native, non-Hispanic"
2019,DC,49.1,Hispanic
2019,FL,70.6,"Asian, non-Hispanic"
2019,IN,36.2,"Asian, non-Hispanic"
2019,IN,247.7,"White, non-Hispanic"
2019,IN,182.2,"Black, non-Hispanic"
2019,KY,263.6,"White, non-Hispanic"
2019,IL,232.6,"Black, non-Hispanic"
2019,ID,200.8,"White, non-Hispanic"
2019,HI,219.2,"Asian, non-Hispanic"
2019,LA,68.6,"Asian, non-Hispanic"
2019,IL,256.4,"White, non-Hispanic"
2019,LA,280.4,"White, non-Hispanic"
2019,HI,184.9,"White, non-Hispanic"
2019,IA,270.3,"White, non-Hispanic"
2019,IA,39.9,"Asian, non-Hispanic"
2019,IA,32.2,Hispanic
2019,IL,21.8,"Multiracial, non-Hispanic"
2019,KS,38.7,"Asian, non-Hispanic"
2019,IN,42.3,Hispanic
2019,IL,69.0,"Asian, non-Hispanic"
2019,LA,105.8,"American Indian or Alaska Native, non-Hispanic"
2019,IL,48.5,Hispanic
2019,HI,135.7,"Hawaiian or Pacific Islander, non-Hispanic"
2019,KS,249.2,"White, non-Hispanic"
2019,KY,26.9,Hispanic
2019,ID,31.4,Hispanic
2019,KY,41.6,"Asian, non-Hispanic"
2019,KS,194.2,"Black, non-Hispanic"
2019,KY,200.1,"Black, non-Hispanic"
2019,HI,72.0,"Black, non-Hispanic"
2019,LA,228.4,"Black, non-Hispanic"
2019,KS,41.0,Hispanic
2019,KS,193.4,"American Indian or Alaska Native, non-Hispanic"
2019,LA,57.5,Hispanic
2019,KS,83.8,"Multiracial, non-Hispanic"
2019,HI,152.7,"Multiracial, non-Hispanic"
2019,IA,110.3,"Black, non-Hispanic"
2019,HI,86.8,Hispanic
2019,ID,136.8,"American Indian or Alaska Native, non-Hispanic"
2019,MO,40.2,Hispanic
2019,MS,35.0,Hispanic
2019,MN,136.1,"American Indian or Alaska Native, non-Hispanic"
2019,MN,16.9,"Multiracial, non-Hispanic"
2019,MT,206.3,"American Indian or Alaska Native, non-Hispanic"
2019,MO,88.6,"American Indian or Alaska Native, non-Hispanic"
2019,MA,43.9,Hispanic
2019,MO,216.1,"Black, non-Hispanic"
2019,MA,214.7,"White, non-Hispanic"
2019,MI,44.1,"Multiracial, non-Hispanic"
2019,MI,139.7,"American Indian or Alaska Native, non-Hispanic"
2019,MS,205.7,"American Indian or Alaska Native, non-Hispanic"
2019,MI,281.9,"White, non-Hispanic"
2019,MO,271.8,"White, non-Hispanic"
2019,MS,220.4,"Black, non-Hispanic"
2019,MS,324.0,"White, non-Hispanic"
2019,MN,67.4,"Black, non-Hispanic"
2019,MI,50.3,"Asian, non-Hispanic"
2019,MD,33.1,Hispanic
2019,MO,60.4,"Asian, non-Hispanic"
2019,MA,37.3,"Asian, non-Hispanic"
2019,MN,38.1,"Asian, non-Hispanic"
2019,MT,230.5,"White, non-Hispanic"
2019,MI,270.1,"Black, non-Hispanic"
2019,MO,18.7,"Multiracial, non-Hispanic"
2019,MD,256.7,"White, non-Hispanic"
2019,MI,66.5,Hispanic
2019,MS,96.1,"Asian, non-Hispanic"
2019,MA,35.8,"Multiracial, non-Hispanic"
2019,MD,68.8,"Asian, non-Hispanic"
2019,MD,191.5,"Black, non-Hispanic"
2019,MN,176.1,"White, non-Hispanic"
2019,MN,20.3,Hispanic
2019,MA,99.5,"Black, non-Hispanic"
2019,ME,230.2,"White, non-Hispanic"
2019,NY,285.5,"White, non-Hispanic"
2019,NC,229.0,"White, non-Hispanic"
2019,NV,248.2,"Black, non-Hispanic"
2019,NJ,197.7,"Black, non-Hispanic"
2019,NV,44.2,"Multiracial, non-Hispanic"
2019,NV,56.3,Hispanic
2019,NC,23.3,Hispanic
2019,NE,23.2,Hispanic
2019,NE,117.1,"Black, non-Hispanic"
2019,NJ,62.1,Hispanic
2019,NM,186.9,"Black, non-Hispanic"
2019,NV,159.3,"American Indian or Alaska Native, non-Hispanic"
2019,NM,131.9,Hispanic
2019,NH,218.5,"White, non-Hispanic"
2019,NJ,303.0,"White, non-Hispanic"
2019,NY,106.8,Hispanic
2019,NE,128.6,"American Indian or Alaska Native, non-Hispanic"
2019,ND,209.7,"White, non-Hispanic"
2019,ND,209.1,"American Indian or Alaska Native, non-Hispanic"
2019,NV,347.9,"White, non-Hispanic"
2019,NM,105.3,"American Indian or Alaska Native, non-Hispanic"
2019,NE,219.9,"White, non-Hispanic"
2019,NY,238.0,"Black, non-Hispanic"
2019,NV,137.1,"Asian, non-Hispanic"
2019,NC,171.5,"American Indian or Alaska Native, non-Hispanic"
2019,NJ,28.7,"Multiracial, non-Hispanic"
2019,NY,89.8,"American Indian or Alaska Native, non-Hispanic"
2019,NY,18.6,"Multiracial, non-Hispanic"
2019,NM,73.4,"Asian, non-Hispanic"
2019,NV,228.2,"Hawaiian or Pacific Islander, non-Hispanic"
2019,NM,329.3,"White, non-Hispanic"
2019,NY,99.1,"Asian, non-Hispanic"
2019,NC,46.1,"Asian, non-Hispanic"
2019,NC,176.2,"Black, non-Hispanic"
2019,NE,40.8,"Asian, non-Hispanic"
2019,NJ,61.9,"Asian, non-Hispanic"
2019,PA,54.9,"Asian, non-Hispanic"
2019,OR,210.4,"White, non-Hispanic"
2019,OK,199.6,"American Indian or Alaska Native, non-Hispanic"
2019,RI,97.0,"Black, non-Hispanic"
2019,OR,49.8,"Asian, non-Hispanic"
2019,OH,226.1,"Black, non-Hispanic"
2019,OR,117.4,"Black, non-Hispanic"
2019,OH,9.1,"Multiracial, non-Hispanic"
2019,OK,98.7,"Multiracial, non-Hispanic"
2019,OK,350.8,"White, non-Hispanic"
2019,OR,89.1,"American Indian or Alaska Native, non-Hispanic"
2019,RI,295.3,"White, non-Hispanic"
2019,OK,67.9,"Asian, non-Hispanic"
2019,PA,291.4,"White, non-Hispanic"
2019,RI,39.4,Hispanic
2019,OR,23.6,Hispanic
2019,SD,238.3,"White, non-Hispanic"
2019,SC,195.8,"Black, non-Hispanic"
2019,SC,30.6,Hispanic
2019,SC,53.6,"Asian, non-Hispanic"
2019,OH,46.3,"Asian, non-Hispanic"
2019,SC,236.4,"White, non-Hispanic"
2019,OK,48.6,Hispanic
2019,OH,276.9,"White, non-Hispanic"
2019,RI,58.0,"Asian, non-Hispanic"
2019,PA,14.1,"Multiracial, non-Hispanic"
2019,OK,259.3,"Black, non-Hispanic"
2019,PA,227.2,"Black, non-Hispanic"
2019,OH,47.8,Hispanic
2019,OR,134.7,"Hawaiian or Pacific Islander, non-Hispanic"
2019,SD,133.4,"American Indian or Alaska Native, non-Hispanic"
2019,OR,37.9,"Multiracial, non-Hispanic"
2019,PA,51.8,Hispanic
2019,TN,20.3,"Multiracial, non-Hispanic"
2019,VT,232.2,"White, non-Hispanic"
2019,WA,58.3,"Asian, non-Hispanic"
2019,UT,72.4,"American Indian or Alaska Native, non-Hispanic"
2019,US,131.8,"American Indian or Alaska Native, non-Hispanic"
2019,VA,29.8,Hispanic
2019,VA,16.3,"Multiracial, non-Hispanic"
2019,TX,127.6,"Hawaiian or Pacific Islander, non-Hispanic"
2019,TX,54.5,"Asian, non-Hispanic"
2019,UT,32.7,Hispanic
2019,TX,70.1,"American Indian or Alaska Native, non-Hispanic"
2019,TN,283.4,"White, non-Hispanic"
2019,US,259.8,"White, non-Hispanic"
2019,WV,300.1,"White, non-Hispanic"
2019,WA,32.3,"Multiracial, non-Hispanic"
2019,TX,172.7,"Black, non-Hispanic"
2019,WA,126.2,"Black, non-Hispanic"
2019,UT,46.5,"Asian, non-Hispanic"
2019,VA,187.6,"Black, non-Hispanic"
2019,WA,33.9,Hispanic
2019,TN,53.0,"Asian, non-Hispanic"
2019,VA,54.3,"Asian, non-Hispanic"
2019,US,197.6,"Black, non-Hispanic"
2019,VA,105.3,"American Indian or Alaska Native, non-Hispanic"
2019,TX,78.3,Hispanic
2019,TN,26.6,Hispanic
2019,TN,206.1,"Black, non-Hispanic"
2019,WA,128.1,"Hawaiian or Pacific Islander, non-Hispanic"
2019,US,146.0,"Hawaiian or Pacific Islander, non-Hispanic"
2019,WV,178.4,"Black, non-Hispanic"
2019,TX,251.3,"White, non-Hispanic"
2019,UT,73.6,"Black, non-Hispanic"
2019,TX,15.7,"Multiracial, non-Hispanic"
2019,US,69.0,Hispanic
2019,VA,216.3,"White, non-Hispanic"
2019,US,78.9,"Asian, non-Hispanic"
2019,UT,144.3,"White, non-Hispanic"
2019,US,33.3,"Multiracial, non-Hispanic"
2019,WA,155.4,"American Indian or Alaska Native, non-Hispanic"
2019,UT,105.1,"Hawaiian or Pacific Islander, non-Hispanic"
2019,WA,202.3,"White, non-Hispanic"
2020,CO,21.3,"Multiracial, non-Hispanic"
2019,WI,238.8,"White, non-Hispanic"
2020,AZ,279.2,"White, non-Hispanic"
2020,AR,34.1,Hispanic
2019,WI,43.6,"Asian, non-Hispanic"
2020,AZ,159.5,"Black, non-Hispanic"
2020,DE,34.0,Hispanic
2020,AR,336.1,"White, non-Hispanic"
2020,CA,214.1,"Hawaiian or Pacific Islander, non-Hispanic"
2020,DE,51.5,"Asian, non-Hispanic"
2020,AK,78.5,"Asian, non-Hispanic"
2020,CA,256.0,"Black, non-Hispanic"
2020,CT,57.9,Hispanic
2020,CO,54.6,"Asian, non-Hispanic"
2020,AL,112.8,"American Indian or Alaska Native, non-Hispanic"
2020,CA,201.5,"American Indian or Alaska Native, non-Hispanic"
2020,AZ,117.6,"American Indian or Alaska Native, non-Hispanic"
2020,AK,69.8,"Multiracial, non-Hispanic"
2020,AZ,54.9,"Multiracial, non-Hispanic"
2020,AL,35.3,Hispanic
2020,CT,259.9,"White, non-Hispanic"
2020,AZ,71.1,Hispanic
2019,WI,181.9,"Black, non-Hispanic"
2020,CT,44.8,"Asian, non-Hispanic"
2020,CA,55.4,"Multiracial, non-Hispanic"
2020,AR,245.6,"Black, non-Hispanic"
2020,AL,65.3,"Asian, non-Hispanic"
2020,CT,163.6,"Black, non-Hispanic"
2020,AZ,67.3,"Asian, non-Hispanic"
2020,AL,344.3,"White, non-Hispanic"
2020,CO,167.2,"White, non-Hispanic"
2020,CO,69.0,Hispanic
2019,WY,54.6,Hispanic
2020,AL,269.5,"Black, non-Hispanic"
2020,DE,285.0,"White, non-Hispanic"
2020,CA,115.2,"Asian, non-Hispanic"
2020,CO,116.2,"American Indian or Alaska Native, non-Hispanic"
2019,WY,208.9,"White, non-Hispanic"
2020,AR,72.2,"Asian, non-Hispanic"
2020,AK,140.1,"White, non-Hispanic"
2020,AK,167.5,"American Indian or Alaska Native, non-Hispanic"
2019,WI,129.7,"American Indian or Alaska Native, non-Hispanic"
2020,CA,80.3,Hispanic
2020,CO,158.1,"Black, non-Hispanic"
2019,WI,38.5,Hispanic
2020,CA,283.2,"White, non-Hispanic"
2020,DE,180.2,"Black, non-Hispanic"
2020,AZ,149.1,"Hawaiian or Pacific Islander, non-Hispanic"
2020,IA,40.9,"Asian, non-Hispanic"
2020,KS,70.3,"Multiracial, non-Hispanic"
2020,IL,75.3,"Asian, non-Hispanic"
2020,KS,46.7,Hispanic
2020,GA,10.5,"Multiracial, non-Hispanic"
2020,IL,265.7,"Black, non-Hispanic"
2020,KS,224.3,"Black, non-Hispanic"
2020,FL,100.9,"American Indian or Alaska Native, non-Hispanic"
2020,IL,20.7,"Multiracial, non-Hispanic"
2020,ID,154.3,"American Indian or Alaska Native, non-Hispanic"
2020,HI,176.2,"Multiracial, non-Hispanic"
2020,GA,30.3,Hispanic
2020,GA,53.0,"Asian, non-Hispanic"
2020,KY,277.0,"White, non-Hispanic"
2020,ID,77.5,"Asian, non-Hispanic"
2020,GA,183.0,"Black, non-Hispanic"
2020,FL,178.3,"Black, non-Hispanic"
2020,HI,137.1,"Hawaiian or Pacific Islander, non-Hispanic"
2020,IL,272.8,"White, non-Hispanic"
2020,IN,198.8,"Black, non-Hispanic"
2020,KS,251.8,"White, non-Hispanic"
2020,DC,80.7,"White, non-Hispanic"
2020,ID,36.2,Hispanic
2020,KS,186.8,"American Indian or Alaska Native, non-Hispanic"
2020,HI,84.1,"Black, non-Hispanic"
2020,DC,339.9,"Black, non-Hispanic"
2020,FL,120.3,Hispanic
2020,FL,308.8,"White, non-Hispanic"
2020,KS,53.9,"Asian, non-Hispanic"
2020,FL,36.8,"Multiracial, non-Hispanic"
2020,IN,256.5,"White, non-Hispanic"
2020,HI,93.5,Hispanic
2020,DC,60.4,Hispanic
2020,HI,212.5,"Asian, non-Hispanic"
2020,FL,81.2,"Asian, non-Hispanic"
2020,GA,258.3,"White, non-Hispanic"
2020,IN,50.2,Hispanic
2020,IL,56.6,Hispanic
2020,IA,31.6,Hispanic
2020,KY,54.7,"Asian, non-Hispanic"
2020,ID,203.8,"White, non-Hispanic"
2020,IN,37.6,"Asian, non-Hispanic"
2020,IA,142.3,"Black, non-Hispanic"
2020,HI,215.6,"White, non-Hispanic"
2020,KY,33.5,Hispanic
2020,KY,221.7,"Black, non-Hispanic"
2020,IA,269.2,"White, non-Hispanic"
2020,MN,66.7,"Black, non-Hispanic"
2020,MS,341.1,"White, non-Hispanic"
2020,MO,63.5,"Asian, non-Hispanic"
2020,MI,68.3,Hispanic
2020,MO,282.8,"White, non-Hispanic"
2020,MT,243.6,"White, non-Hispanic"
2020,MD,271.7,"White, non-Hispanic"
2020,ME,237.8,"White, non-Hispanic"
2020,MD,71.8,"Asian, non-Hispanic"
2020,MA,22.7,"Multiracial, non-Hispanic"
2020,MI,293.3,"White, non-Hispanic"
2020,MI,74.6,"Asian, non-Hispanic"
2020,MA,51.6,Hispanic
2020,LA,302.8,"White, non-Hispanic"
2020,MN,19.9,"Multiracial, non-Hispanic"
2020,MI,320.9,"Black, non-Hispanic"
2020,MA,47.6,"Asian, non-Hispanic"
2020,MN,37.1,"Asian, non-Hispanic"
2020,MS,269.6,"Black, non-Hispanic"
2020,MT,55.6,Hispanic
2020,LA,251.6,"Black, non-Hispanic"
2020,LA,66.9,Hispanic
2020,MD,38.0,Hispanic
2020,MS,59.0,Hispanic
2020,MS,96.2,"Asian, non-Hispanic"
2020,MI,45.0,"Multiracial, non-Hispanic"
2020,LA,106.3,"American Indian or Alaska Native, non-Hispanic"
2020,MI,163.8,"American Indian or Alaska Native, non-Hispanic"
2020,MT,172.4,"American Indian or Alaska Native, non-Hispanic"
2020,NE,24.4,Hispanic
2020,MN,180.2,"White, non-Hispanic"
2020,MO,18.0,"Multiracial, non-Hispanic"
2020,MN,131.0,"American Indian or Alaska Native, non-Hispanic"
2020,NE,221.3,"White, non-Hispanic"
2020,MN,21.8,Hispanic
2020,MO,82.6,"American Indian or Alaska Native, non-Hispanic"
2020,MA,211.2,"White, non-Hispanic"
2020,MD,213.8,"Black, non-Hispanic"
2020,LA,74.9,"Asian, non-Hispanic"
2020,MO,266.2,"Black, non-Hispanic"
2020,NE,100.1,"Black, non-Hispanic"
2020,MA,120.9,"Black, non-Hispanic"
2020,MO,52.5,Hispanic
